"354820", "35174", "V. Paraíba-Reg. Serrana"
"354830", "35112", "Alta Sorocabana"
"354840", "35023", "Consórcios do DRS II"
"354850", "35041", "Baixada Santista"
"354860", "35174", "V. Paraíba-Reg. Serrana"
"354870", "35015", "Grande ABC"
"354880", "35015", "Grande ABC"
"354890", "35034", "Coração do DRS III"
"354900", "35153", "Jales"
"354910", "35142", "Mantiqueira"
"354920", "35154", "Fernandópolis"
"354925", "35154", "Fernandópolis"
"354930", "35111", "Alta Paulista"
"354940", "35082", "Alta Anhanguera"
"354950", "35081", "Três Colinas"
"354960", "35172", "Circ. da Fé/V.Histórico"
"354970", "35143", "Rio Pardo"
"354980", "35155", "São José do Rio Preto"
"354990", "35171", "Alto Vale do Paraíba"
"354995", "35013", "Mananciais"
"355000", "35174", "V. Paraíba-Reg. Serrana"
"355010", "35063", "Polo Cuesta"
"355020", "35161", "Itapetininga"
"355030", "35016", "São Paulo"
"355040", "35103", "Piracicaba"
"355050", "35094", "Ourinhos"
"355060", "35163", "Sorocaba"
"355070", "35173", "Litoral Norte"
"355080", "35143", "Rio Pardo"
"355090", "35132", "Aquífero Guarani"
"355100", "35041", "Baixada Santista"
"355110", "35161", "Itapetininga"
"355120", "35061", "Vale do Jurumirim"
"355130", "35157", "Votuporanga"
"355140", "35132", "Aquífero Guarani"
"355150", "35132", "Aquífero Guarani"
"355160", "35074", "Circuito das Águas"
"355170", "35131", "Horizonte Verde"
"355180", "35121", "Vale do Ribeira"
"355190", "35051", "Norte - Barretos"
"355200", "35172", "Circ. da Fé/V.Histórico"
"355210", "35071", "Bragança"
"355220", "35163", "Sorocaba"
"355230", "35022", "Lagos do DRS II"
"355240", "35072", "Reg Metro Campinas"
"355250", "35011", "Alto do Tietê"
"355255", "35022", "Lagos do DRS II"
"355260", "35151", "Catanduva"
"355270", "35032", "Centro Oeste do DRS III"
"355280", "35013", "Mananciais"
"355290", "35112", "Alta Sorocabana"
"355300", "35061", "Vale do Jurumirim"
"355310", "35052", "Sul - Barretos"
